title,date,publisher,venue,authors,abstract,요약
Workload and Injury in Professional Soccer Players: Role of Injury Tissue Type and Injury Severity,2019-12-04,,,,"The purpose of the present study was to examine the influence of workload prior to injury on injury (tissue type and severity) in professional soccer players. Twenty-eight days of retrospective training data prior to non-contact injuries (n=264) were collated from 192 professional soccer players. Each injury tissue type (muscle, tendon and ligament) and severity (days missed) were categorised by medical staff. Training data were recorded using global positioning system (GPS) devices for total distance (TD), high speed distance (HSD,>5.5 m/s-1), and sprint distance (SPR,>7.0 m/s-1). Accumulated 1, 2, 3, 4-weekly loads and acute:chronic workload ratios (ACWR) (coupled, uncoupled and exponentially weighted moving average (EWMA) approaches) were calculated. Workload variables and injury tissue type were compared using a one-way ANOVA. The association between workload variables and injury severity were examined using a bivariate correlation. There were no differences in accumulated weekly loads and ACWR calculations between muscle, ligament, and tendon injuries (P>0.05). Correlations between each workload variable and injury severity highlighted no significant associations (P>0.05). The present findings suggest that the ability of accumulated weekly workload or ACWR methods to differentiate between injury type and injury severity are limited using the present variables.","This study investigates the relationship between workload prior to injury and the type and severity of non-contact injuries in professional soccer players, analyzing data from 192 athletes and focusing on different tissue injuries. The findings indicate no significant associations between accumulated weekly workload or acute:chronic workload ratios and injury severity or type, suggesting limitations in using these workload variables to differentiate injury characteristics."
Lower limb strength asymmetry and Functional Movement Screen values in professional soccer players,2019-12-04,,,,"Aim: The Functional Movement Screen (FMS) protocol consists of 7 tests. At higher values ​​mean higher quality of execution. The lower limb functional asymmetry (FA) is monitored to control the athlete's injury risk. This study aims to examine the correlation between the FMS score and strength asymmetry in professional soccer players (PSP). Methods: n=31 PSP (age:22.2±4.6; weight:74.3±10,1kg; height:176.1±8.7cm), n=4 were excluded for joint or muscle injury in the last 18 months. The FMS protocol identifies athletes at risk of injury when the total score is≤14. The Hop Test (HT), Side Hop Test (SH) and Crossover Hop Test (CH) are considered a valid assessment of the single lower limb FA. Results: It revealed a significant inverse correlation between FMS score and HT (r = -0.56, p&lt;0.01), between FMS score and SH asymmetry percentage (r =-0.74, p&lt;0.01) and the CH asymmetry percentage (r=-0.60, p&lt;0.01). Significant correlation were found between HT asymmetry and SH asymmetry (r= -0.54, p&lt;0.01), CH asymmetry (r=-0.59, p&lt;0.01); significant correlation were found between SH asymmetry and CH asymmetry (r= -0.76, p&lt;0.001). Conclusion: Low scores in the FMS test are correlated with high levels lower limb strength asymmetry in the soccer player; it can be assumed that movement accuracy influences jump performance. In the soccer players, the lower limb strength asymmetries are observed on the jumps performed in different planes and in different tasks.","The paper investigates the relationship between lower limb strength asymmetry and Functional Movement Screen (FMS) scores in professional soccer players, aiming to identify risk factors for injury. The findings indicate that lower FMS scores are significantly correlated with higher strength asymmetry levels, suggesting that movement quality may impact jump performance in soccer."
Difference in leg asymmetry between female collegiate athletes and recreational athletes during drop vertical jump,2019-12-01,,,,"Abstract Background Neuromuscular imbalance will lead to loading asymmetry in sporting activities. This asymmetry is related to leg dominance, which has been associated with increased risk of anterior cruciate ligament (ACL) injury. Therefore, potential biomechanical differences between legs are important. However, little attention has been paid to the biomechanical details of leg dominance. The purpose of the present study was to clarify the relationship between leg dominance and knee biomechanics in females with different activity level during dynamic athletic tasks. Methods A total of 23 female collegiate (mean age = 19.6 ± 1.4 years, mean body mass index = 21.5 ± 0.9) and 19 recreational athletes (mean age = 20.7 ± 1.1 years, mean body mass index = 20.5 ± 1.7) were enrolled. Tegner activity scores of the collegiate and recreational athletes were 9 and 7, respectively. Knee kinematic and kinetic asymmetries between the dominant (DL) and non-dominant (NDL) legs during the landing phase of drop vertical jump (DVJ) were assessed using three-dimensional motion analysis in collegiate and recreational athletes separately. Statistical comparison was done using two-tailed paired t test between DL and NDL in each athlete. Results The peak knee abduction angle was significantly larger on the DL than on the NDL in collegiate athletes. Knee abduction angle at initial contact (IC), peak knee abduction angle, knee internal rotation angle at IC, and peak knee internal rotation angle were significantly larger on the NDL than on the DL in recreational athletes. Moreover, peak knee abduction moment within 40 ms from IC was larger on the NDL than on the DL in recreational athletes, while the moment was not significantly different in collegiate athletes. Conclusions From the present study, the relationship between leg dominance and knee biomechanics was totally different in females with different activity level. Specifically, asymmetry of the knee abduction angle between limbs was opposite between female recreational and collegiate athletes. According to previous literatures, abduction and internal rotation angles as well as abduction moment were key issues for mechanism of non-contact ACL injury. Therefore, the NDL in female recreational athletes was associated with increased risk of ACL injury.","This study investigates the relationship between leg dominance and knee biomechanics in female collegiate and recreational athletes during a drop vertical jump. Key findings reveal significant differences in knee abduction angles and moments between dominant and non-dominant legs, indicating that knee biomechanical asymmetries vary based on the athlete's activity level, potentially influencing ACL injury risk."
Percutaneous needle electrolysis and exercise reduce the time for return to competition after an injury to the hamstrings: Two cases in professional football players,2019-12-01,,,,"Abstract Background and Aims Percutaneous needle electrolysis has shown to be effective for the treatment of chronic tendinopathies, however, the scientific evidence available regarding acute muscle lesions is scarce. Lesions to the hamstrings caused by indirect mechanisms represent the most common muscle lesion in football (its incidence increases each year) with a high rate of recurrence. The aim was to evaluate whether the application of percutaneous needle electrolysis and a program of functional exercise decreases the times for return to competition after an injury to the hamstrings in athletes, and to compare performance data of subjects during competition before and after the injury. Methods A case series. Two professional football players, belonging to a first league team in Spain with a grade 2 lesion in the semitendinosus muscle on the proximal level. The affected muscle structure was assessed using ultrasound (Logiq GE E9, probe ML6–12) and functionality was evaluated based on data of the Global Positioning System (GPS), comparing the data obtained during the process of re-adaptation with data prior to the lesion. Percutaneous needle electrolysis was performed under ultrasound guidance at 48 hours after the injury following the protocol defined by Valera &amp; Minaya (2:3:5). The indoor recovery of players began 24 hours after the percutaneous needle electrolysis. Initially, the exercise program included activities of mobility and controlled loading. Thereafter, the players completed their readaptation program in the training field with exercises of progressive complexity and intensity (biomechanical patterns and neuromuscular control of the central zone and the lower limbs, sprint). Results Player A returned to competition in 16 days, player B returned in 14 days. No adverse effects were identified during or after the percutaneous needle electrolysis technique. The players only missed one competition game and the process of readaptation allowed them to return to play registering parameters which were similar to the values prior to the lesion, and maintaining the performance during the four matches following the intervention protocol. The players were followed up to eight months after the injury and neither player suffered a relapse during this period, which indicates the complete recovery of the injured muscle both on a structural and functional level. Conclusions The combined treatment using percutaneous needle electrolysis and a functional exercise program reduces the time for return to competition after a grade 2 muscle lesion in the hamstrings, with a level of performance that is similar to prior to the lesion, without relapses, in an 8 month follow up period. The criteria we use to determine when a player can return to train with the team and compete after an acute muscle injury are: the time that has passed since the lesion, structural changes and the ability to perform tasks.","This paper investigates the effectiveness of percutaneous needle electrolysis combined with a functional exercise program in reducing the return-to-competition time for professional football players suffering from grade 2 hamstring injuries. The results indicate that this combined treatment approach allowed players to return to competition within 14 to 16 days, with performance levels comparable to pre-injury status and no relapses over an eight-month follow-up period."
Statistical Parametric Mapping을 이용한 시상면에서의 양발 착지와 외발 착지의 전략 차이,2019-12-01,,,,"Objective: The purpose of this study was to investigate differences of shock attenuation strategies between double-leg and single-leg landing on sagittal plane using statistical parametric mapping.
Method: Nine healthy female professional soccer players (age: 24.0±2.5 yrs, height: 164.9±3.3 cm, weight: 55.7±6.6 kg, career: 11.2±1.4 yrs) were participated in this study. The subjects performed 10 times of double-leg and single-leg landing from the box of 30 cm height onto force plates respectively. The ground reaction force, angle, moment, angular velocity, and power of the ankle, knee, and hip joint on sagittal plane was calculated from initial contact to maximum knee flexion during landing phase. Statistical parametric mapping was used to compare the biomechanical variables of double-leg and single-leg landing of the dominant leg throughout the landing phase. Each mean difference of variables was analyzed using a paired t-test and alpha level was set to 0.05.
Results: For the biomechanical variables, significantly increased vertical ground reaction force, plantarflexion moment of the ankle joint, negative ankle joint power and extension moment of the hip joint were found in single-leg landing compared to double-leg landing (p<.05). In addition, the flexion angle and angular velocity of the knee and hip joint in double-leg landing were observed significantly greater than single-leg landing, respectively (p<.05).
Conclusion: These findings suggested that negative joint power and plantarflexion moment of the ankle joint can contribute to shock absorption during single-leg landing and may be the factors for preventing the musculoskeletal injuries of the lower extremity by an external force.","This study investigates the differences in shock attenuation strategies between double-leg and single-leg landings in the sagittal plane using statistical parametric mapping. Key findings indicate that single-leg landings result in increased vertical ground reaction force and specific joint moments compared to double-leg landings, highlighting their potential implications for preventing lower extremity musculoskeletal injuries."
Short-Term Repeated-Sprint Training (Straight Sprint vs. Changes of Direction) in Soccer Players,2019-11-30,,,,"Repeated-sprint training (RST) is considered a critical training method in team sports. It is well known that RST effects may depend on several variables such as the duration of the protocol and repeated-sprint methodology. Few studies have evaluated very short-term protocols and compared different RST modalities. The aim of this study was to compare the effectiveness of 2 week RST including straight sprints or changes of direction (CODs) on physical performance in a sample of soccer players. This study used a randomised pre-post parallel group trial design. The participants were assigned to either an RST group using straight sprints (RST-SS = 18 players) or an RST group using CODs (RST-COD = 18 players). The protocols were: 3 sets of 7 x 30 m sprints for the RST-SS and 7 x 20 + 20 m (one COD of 180°) for the RST-COD, with 20 s and 4 min recovery between sprints and sets, respectively. The following evaluations were performed: 10 and 20 m sprint, agility test, repeated sprint test (RSTbest and RSTmean), and Yo-Yo Recovery Level 1. After the training period, the RST-SS did not report any performance variation, while the RST-COD showed improvements in the 10 m sprint and RSTbest (effect size = 0.70 and 0.65, respectively). The between-group analysis did not report any statistical difference between the RST-SS and the RST-COD. In conclusion, this study did not support the utilisation of a very short-term RST protocol with soccer players, however, the RST-COD presented some additional benefits in sprint performance compared to the RST-SS.","The paper investigates the effectiveness of two different short-term repeated-sprint training protocols—straight sprints and changes of direction (COD)—on physical performance in soccer players. It concludes that while the straight sprint protocol did not lead to performance changes, the COD training resulted in improvements in 10 m sprint and repeated sprint test outcomes."
Aerobic and anaerobic physical capacities per station based on field tests of elite Melano-African footballers in hot and humid environments,2019-11-30,,,,"Anthropometric parameters and physical abilities are taken into account in the footballer's position on the field, for the achievement of good performance. The objective of this study was to assess the anthropometric parameters and physical capacities of Congolese elite footballers by position. Twenty-two (22) footballers aged 27.00 ± 4.58 years to 31.00 ± 1.3 years participated in the study. Anthropometric parameters (weight, height, calf and thigh circumference, lean mass and percentage fat mass) and physical capacities (maximum oxygen consumption, reaction rate and vertical expansion) were measured per shift during the championship. The results showed a significant difference (p ˂ 0.05), anthropometric parameters and physical capacities according to the position held. A positive correlation was observed between the two variables. In conclusion, Congolese footballers have a morphology and physique that differ by position in response to the practice of elite football. Football managers and coaches should place the training material at the footballer's development centre and integrate its evaluation into the annual activity planning.","The paper assesses the anthropometric parameters and physical capacities of Congolese elite footballers based on their playing positions. It highlights significant differences in these attributes, suggesting that training and evaluation should be tailored according to specific player positions to enhance performance."
Kinetic and Kinematic Analysis of the Phases of Kicking during Accurate and Maximal Effort Conditions in Female Soccer Players,2019-11-26,,,,"Soccer is one of the most popular sports in the world and the substantial increase in participation over the last decade adds significance to understanding kicking mechanics as kicking is a key skill during a game. The biomechanics of soccer kicking have been widely investigated and there is a conventional belief that a tradeoff exists between speed and accuracy during kicking performance. However, the kinetics and kinematics of the kicking leg during the approach to the ball remain unclear and whether or not instep soccer kicks can be performed without a speed-accuracy tradeoff. The purpose of this study was to investigate the kinetic and kinematic differences between accurate and maximal effort soccer kicking in female soccer players.
Twenty female soccer players from the college club or varsity level performed three trials of an accurate kick and three trials of a maximal effort kick. Bilateral hip, knee and ankle joint angles and velocities and ground reaction forces (GRFs) of the kicking leg (KL) and plant leg (PL) were calculated. In addition, correlation coefficients were calculated between variables in each condition. During maximal effort kicking, players significantly increased peak hip, knee and ankle angles (p = 0.000, p = 0.000, p = 0.034), angular velocities (p = 0.000, p = 0.000, p = 0.004), and foot velocity (p = 0.000) in the KL. This was likely the result of the significant increase in peak horizontal GRF in the KL (p = 0.000) and PL (p = 0.000). Peak horizontal GRF in the KL had the strongest correlation with foot linear velocity in accurate kicking (R = 0.77*) compared to in maximal effort kicking (R = 60*), and had a stronger influence on foot velocity compared to peak horizontal GRF in the PL in both accurate (R = 0.31*) and maximal effort (0.23) conditions. This suggests that peak horizontal GRF in the KL, rather than in the PL, plays a more important role in kick velocity, especially when kicking accurately. Results indicate that increasing horizontal GRF in the KL in both conditions is key to improving velocity since that variable is highly correlated in each condition. In addition, less variation of horizontal GRFs in the KL in maximal effort kicking indicate faster kicks result in more consistent foot velocities and suggests that players reduce variability as they approach maximum velocity. These results provide evidence that accuracy may not have to be sacrificed when kicks are faster if players practice accurate performances when kicking with maximum velocity due to the less variability in the initial programmed pattern of movement during fast performances. Coaches and trainers may utilize these results to develop training protocols that involve increasing GRFs of the KL and practicing kicks that are both accurate and fast to increase overall accuracy during maximum velocity instep soccer kicks.","This study investigates the kinetic and kinematic differences between accurate and maximal effort kicking in female soccer players, emphasizing the role of ground reaction forces in kick performance. Results indicate that improving horizontal ground reaction forces in the kicking leg can enhance kick velocity without sacrificing accuracy, suggesting potential training applications for coaches."
Football as Medicine,2019-11-22,,,,"It is beyond dispute that physical activity is good for us, but what are the benefits, challenges and impacts of sport on health? This is the first book to focus on football in the context of health from individual, public and population-level perspectives. Football as Medicine examines the effects of football training on the three main types of fitness (cardiovascular, metabolic and musculoskeletal) and on specific target populations (for example, children, type 2 diabetes patients, cancer patients, people with mental health conditions, the socially deprived and older people). It discusses the significance of football for public health and assesses the efficacy of football interventions by clubs and community sport development programs. With its multi-disciplinary approach, this is a valuable resource for students, researchers and practitioners working in physical activity and health, public health, health promotion and medicine, as well as football and sport business management, sport and exercise science, and the sociology of sport.","This paper explores the health benefits, challenges, and impacts of football as a form of physical activity. It examines how football training affects cardiovascular, metabolic, and musculoskeletal fitness across various populations, highlighting its significance for public health and the effectiveness of community-based football interventions."
Short‐term effects of differential learning and contextual interference in a goalkeeper‐like task: Visuomotor response time and motor control,2019-11-22,,,,"Abstract In this experiment, we compared changes in visuomotor performance and motor control after a single session of differential learning (DL) and contextual interference (CI) in a reaching task to mimic goalkeeping. Subjects (n DL = n CI = 16) stood in front of a wall with six LED‐light targets that flashed on in a random order and subjects had to move their hand in front of it as fast as possible in order to extinguish the target. After the pre‐test subjects followed a DL or CI training session, followed immediately by a post‐test, followed by one hour of rest and a retention test. Performance and motor control were measured respectively by visuomotor response time (VMRT) and an Index of Motor Abundance (IMA; reflecting the strength of movement synergies) calculated with Uncontrolled Manifold analysis. A mixed‐effects Bayesian ANOVA model was used to evaluate differences in changes in both parameters between both training groups. Averaged over the six targets, the decrease in VMRT was stronger for DL than CI at the post‐test (interference effect) but not at retention. The IMA was on average increased at post‐ and retention test in both groups, indicating stronger synergies between the degrees‐of‐freedom. While the ANOVA for IMA was not conclusive, the changes were likely not different between both learning methods. Thus, while an interference effect was found for CI but not DL in terms of performance on the task, no such effect was observed on the behavioural level in terms of the strength of movement synergies.","This paper examines the short-term effects of differential learning and contextual interference on visuomotor performance and motor control in a goalkeeping-related task. The study found that differential learning resulted in a greater decrease in visuomotor response time compared to contextual interference post-training, although both methods improved the strength of movement synergies similarly over time."
