title,date,year,publisher,venue,authors,abstract,validity
Contribution of segmental kinetic energy to forward propulsion of the centre of mass: Analysis of sprint acceleration,2022-04-18,2022,Informa UK Limited,Journal of Sports Sciences,"Jean Slawinski, Nicolas Houel, Camille Moreau, Alexia Mahlig, Daniel Dinu","This study aimed to measure the contribution of each body segment to the production of total body kinetic energy (KE) during a 40-m sprint. Nine recreational sprinters performed two 40-m sprints wearing a MVN Biomech suit (Xsens). Data recorded were used to calculate total body KE, and the KE of each segment. The KE of each segment was then expressed as a percentage of the total body KE. We divided the sprint into three phases: 1 – start to maximal power (Pmax), 2 – Pmax to maximal velocity (Vmax), and 3 – Vmax to the end of the 40 m. Total body KE increased from the start to the end of the 40-m sprint (from 331.3 ± 68.4 J in phase 1 to 2378.8 ± 233.0 J in phase 3; p ≤ 0.001). The contribution of the head–trunk increased (from 39.5 ± 2.4% to 46.3 ± 1.1%; p ≤ 0.05). Contribution of the upper and lower limbs decreased over the three phases (respectively from 15.7 ± 2.5% to 10.6 ± 0.6% and from 44.8 ± 2.1% to 43.1 ± 1.5%; p ≤ 0.05). This study revealed the important contribution of the trunk to forward propulsion throughout the entire acceleration phase.",1
Survey on Video-Based Biomechanics and Biometry Tools for Fracture and Injury Assessment in Sports,2022-04-14,2022,MDPI AG,Applied Sciences,"Vanessa E. Ortiz-Padilla, Mauricio A. Ramírez-Moreno, Gerardo Presbítero-Espinosa, Ricardo A. Ramírez-Mendoza, Jorge de J. Lozoya-Santos","This work presents a survey literature review on biomechanics, specifically aimed at the study of existent biomechanical tools through video analysis, in order to identify opportunities for researchers in the field, and discuss future proposals and perspectives. Scientific literature (journal papers and conference proceedings) in the field of video-based biomechanics published after 2010 were selected and discussed. The most common application of the study of biomechanics using this technique is sports, where the most reported applications are american football, soccer, basketball, baseball, jumping, among others. These techniques have also been studied in a less proportion, in ergonomy, and injury prevention. From the revised literature, it is clear that biomechanics studies mainly focus on the analysis of angles, speed or acceleration, however, not many studies explore the dynamical forces in the joints. The development of video-based biomechanic tools for force analysis could provide methods for assessment and prediction of biomechanical force associated risks such as injuries and fractures. Therefore, it is convenient to start exploring this field. A few case studies are reported, where force estimation is performed via manual tracking in different scenarios. This demonstration is carried out using conventional manual tracking, however, the inclusion of similar methods in an automated manner could help in the development of intelligent healthcare, force prediction tools for athletes and/or elderly population. Future trends and challenges in this field are also discussed, where data availability and artificial intelligence models will be key to proposing new and more reliable methods for biomechanical analysis.",1
Biomechanical asymmetries differ between autograft types during unplanned change of direction after ACL reconstruction,2022-04-14,2022,Wiley,Scandinavian Journal of Medicine &amp; Science in Sports,"Joshua J. Miles, Polly M. McGuigan, Enda King, Katherine A. J. Daniels","Nine months after anterior cruciate ligament (ACL) reconstruction, athletes who undergo surgery using a bone-patellar-tendon-bone (BPTB) autograft demonstrate higher loading asymmetries during vertical jumping than those with a hamstring tendon (HT) autograft. These asymmetries may transfer into sporting movements with a greater ACL injury risk. The aim of this study was to compare between-limb asymmetries in knee mechanics and task performance during an unplanned 90° change-of-direction (CoD) task in male field sport athletes reconstructed with BPTB or HT autografts. Seventy-eight male multidirectional field sport athletes with either a BPTB (n = 39) or HT (n = 39) autograft completed maximal unplanned CoD trials in a three-dimensional motion capture laboratory at approximately 9 months post-surgery. A mixed-model 2x2 ANOVA (autograft type x limb) was used to compare variables related to ACL injury risk (e.g., internal knee moments) and performance (e.g., completion time) between autografts and limbs. Statistical parametric mapping was used for a waveform comparison throughout stance, supplemented with a discrete point analyses of peak knee moments and performance variables. Interaction effects were found at the knee joint, with BPTB demonstrating greater asymmetries than HT in knee extension moment (p < 0.001); resultant ground reaction force (p < 0.001); peak knee external rotation moment (p = 0.04); and knee adduction (p = 0.05), medial rotation (p < 0.001), and flexion (p < 0.001) angles. No differences were found between autografts for any performance variable. BPTB demonstrated greater lower-limb biomechanical asymmetries than HT during CoD, which may influence knee loading and longer-term outcomes and should thus be targeted during rehabilitation prior to return to play.",1
Neuromuscular control and hop performance in youth and adult male and female football players,2022-04-13,2022,Elsevier BV,Physical Therapy in Sport,"Sofi Sonesson, Martin Hägglund, Joanna Kvist, Kalle Torvaldsson, Hanna Lindblom, Anne Fältström","To compare neuromuscular control and hop performance between youth and adult male and female football players.Cross-sectional study.119 youth players (13-16 years; 68 males) and 88 adult players (17-26 years; 44 males).Neuromuscular control assessed with drop vertical jump (DVJ) and tuck jump assessment (TJA). Hop performance assessed with single-leg hop for distance and side hop.Adult females had smaller normalized knee separation distances (NKSD) during DVJ at initial contact (77.9 ± 18.5 vs. 86.1 ± 11.0, p = 0.010) and at maximum knee flexion (59.7 ± 23.4 vs.74.1 ± 18.1, p = 0.001) compared to youth females. TJA revealed more technique errors in youths compared to adults (males 10 (8-11) vs. 8 (7-10); females 11 (9-12) vs. 9 (8-11), p < 0.05). Youths demonstrated inferior hop performance (males single-leg hop 142 ± 18 vs. 163 ± 17, side hop 41 ± 12 vs. 52 ± 12, p < 0.001; females side hop 32 ± 10 vs. 38 ± 14, p < 0.05).Youth players demonstrated reduced neuromuscular control during TJA and inferior hop performance compared to adult players. Adult female players demonstrated greater knee valgus during DVJ compared to youth female players.",1
Prevention of Non-Contact Anterior Cruciate Ligament Injuries among Youth Female Athletes: An Umbrella Review,2022-04-12,2022,MDPI AG,International Journal of Environmental Research and Public Health,"Anmol T. Mattu, Brianna Ghali, Vanessa Linton, Alex Zheng, Ian Pike","Anterior cruciate ligament (ACL) injuries account for a large percentage of knee injuries, disproportionately affecting female athletes. To help health professionals stay current, we performed an umbrella review to evaluate the effectiveness of ACL injury prevention programs in reducing non-contact ACL injury rates, determine the effective components within interventions, and provide clinical recommendations. Twelve databases (Medline, Embase, Cochrane Database of Systematic Reviews, SPORTDiscus, Cumulative Index to Nursing and Allied Health Literature, PEDro, Web of Science Core Collection, Epistemonikos, TRIP, BC Guidelines and Protocols, CPG Infobase, ProQuest Dissertations and Theses Global) were searched in May 2021 to identify relevant systematic reviews and meta-analyses. Four databases were searched again in September 2021 to identify recent primary literature. Non-contact ACL injury data were extracted to calculate incidence rate ratios (IRRs) and these were combined using an inverse variance random-effects model. A qualitative assessment of included reviews was performed. The methodological quality of the studies was assessed using a Measurement Tool to Assess Systematic Reviews 2 (AMSTAR 2) or Cochrane Risk-of-Bias Tool for Randomized Trials (RoB 2). Sixteen reviews and two primary studies met the inclusion criteria. Across 11 primary studies, prevention programs were effective in reducing non-contact ACL injuries by 64% (IRR = 0.36 (95% CI: 0.18–0.70)). A multi-faceted exercise program, beginning in the pre-season and containing at least three exercise types, may be beneficial in reducing ACL injury risk.",1
Comparing lab and field agility kinematics in young talented female football players: Implications for ACL injury prevention,2022-04-11,2022,Wiley,European Journal of Sport Science,"Stefano Di Paolo, Eline Nijmeijer, Laura Bragonzoni, Evelien Dingshoff, Alli Gokeler, Anne Benjaminse","Modifiable (biomechanical and neuromuscular) anterior cruciate ligament (ACL) injury risk factors have been identified in laboratory settings. These risk factors were subsequently used in ACL injury prevention measures. Due to the lack of ecological validity, the use of on-field data in the ACL injury risk screening is increasingly advocated. Though, the kinematic differences between laboratory and on-field settings have never been investigated. The aim of the present study was to investigate the lower-limb kinematics of female footballers during agility movements performed both in laboratory and football field environments. Twenty-eight healthy young female talented football (soccer) players (14.9 ± 0.9 years) participated. Lower-limb joint kinematics was collected through wearable inertial sensors (Xsens Link) in three conditions: (1) laboratory setting during unanticipated sidestep cutting at 40-50°; on the football pitch (2) football-specific exercises (F-EX) and (3) football games (F-GAME). A hierarchical two-level random effect model in Statistical Parametric Mapping was used to compare joint kinematics among the conditions. Waveform consistency was investigated through Pearson's correlation coefficient and standardized z-score vector. In-lab kinematics differed from the on-field ones, while the latter were similar in overall shape and peaks. Lower sagittal plane range of motion, greater ankle eversion, and pelvic rotation were found for on-field kinematics (p < 0.044). The largest differences were found during landing and weight acceptance. The biomechanical differences between lab and field settings suggest the application of context-related adaptations in female footballers and have implications in ACL injury prevention strategies.HighlightsTalented youth female football players showed kinematical differences between the lab condition and the on-field ones, thus adopting a context-related motor strategy.Lower sagittal plane range of motion, greater ankle eversion, and pelvic rotation were found on the field. Such differences pertain to the ACL injury mechanism and prevention strategies.Preventative training should support the adoption of non-linear motor learning to stimulate greater self-organization and adaptability.It is recommended to test football players in an ecological environment to improve subsequent primary ACL injury prevention programmes.",1
Biomechanical features of drop vertical jump are different among various sporting activities,2022-04-08,2022,Springer Science and Business Media LLC,BMC Musculoskeletal Disorders,"Kengo Harato, Yutaro Morishige, Shu Kobayashi, Yasuo Niki, Takeo Nagura","Risk for non-contact anterior cruciate ligament (ACL) injury can be assessed based on drop vertical jump (DVJ). However, biomechanics of DVJ may differ with various sporting activities. The purpose of the present study was to clarify whether biomechanical features of DVJ are different among various sporting activities in female athletes.A total of 42 female athletes, including 25 basketball, 8 soccer and 9 volleyball players, participated in the current investigation. DVJ was done for each female athlete using a three-dimensional motion analysis system which consisted of six cameras, two force plates and 46 retro-reflective markers. Kinematic and kinetic data were recorded for both limbs in each athlete. Simultaneously, frontal and sagittal plane views of the DVJ were recorded using two different high-resolution video cameras to evaluate Landing Error Scoring System (LESS) score. Three-dimensional biomechanical parameters at the knee joint and LESS were compared among three different sporting activities using ANOVA or Kruskal-Wallis test after confirming normality assumption. Thereafter post hoc Tukey or Steel-Dwass was utilized for multiple comparison.Soccer players had better LESS score, and peak knee flexion angle was significantly larger in soccer players compared to the other sports. In addition, knee abduction angle at initial contact (IC), peak knee abduction angle, knee internal rotation angle, and knee abduction moment within 40 ms from IC were significantly smaller in soccer players, compared to basketball players. In terms of volleyball players, knee abduction angle at IC and knee internal rotation angle at IC were significantly larger than soccer players, whereas no significant biomechanical differences were found between basketball and volleyball players.From the present study, female basketball and volleyball players have worse LESS score, smaller peak knee flexion angle, greater knee abduction angle at IC and greater knee internal rotation angle at IC, compared to female soccer players. Thus, female basketball and volleyball players may have an increased risk of non-contact ACL injury during the jump-landing task, compared to soccer players. Biomechanics of DVJ depends on characteristics of the athlete's primary sport.",1
Common Sports Injury in Football Players: A Review,2022-04-05,2022,Galore Knowledge Publication Pvt. Ltd.,International Journal of Science and Healthcare Research,"Prachi Lakshakar, Prachi Sathe, Abhinav Sathe","Football is the most popular sport worldwide, played by athletes of all ages, it is associated with a high injury rate. The injuries occur during football games and practice due to a combination of high speed and full contact. The authors of different studies showed in their results that the incidence of football injuries a range from 0.5 to 45 injuries per 1000 hours of practice and games. Football injuries most commonly affect the knee and ankle joints, muscles, and ligaments of the thigh and calf. Most commonly affected region is lower extremity with an incidence of 61% to 90%. There are two types of risk factors intrinsic and extrinsic risk factors which are responsible for football injury. We found through this review of literature that ankle injuries are the most common injuries in football players. Other injuries which is also common in football players are such as, ligament of knee, hamstring strain, football concussion, wrist injury. Keywords: Footballers, Sports injury, High speed, Injury incidence.",1
Neck Loads During Head-First Entries into Trampoline Dismount Foam Pits: Considerations for Trampoline Park Safety,2022-04-05,2022,Springer Science and Business Media LLC,Annals of Biomedical Engineering,"Tom Whyte, Edward Lind, Adam Richards, David Eager, Lynne E. Bilston, Julie Brown","Serious cervical spine injuries have been documented from falls into foam pits at trampoline parks. To address the lack of evidence on how foam pits should be designed for mitigating neck injury risk, this study aimed to quantify neck loads during head-first entry into varying foam pit designs. An instrumented Hybrid III anthropomorphic test device was dropped head-first from a height of up to 1.5 m into three differently constructed foam pits, each using a different mechanism to prevent direct contact between the falling person and the floor (foam slab, trampoline or net bed). Measured neck loads were compared to published injury reference values. In the simplest, foam-only pit design, increasing foam depth tended to reduce peak compressive force. At least one injury assessment reference metric was exceeded in all pit conditions tested for 1.5 m falls, most commonly the time-dependent neck compression criterion. The results highlight the importance of adequate foam depth in combination with appropriate pit design in minimizing injury risk. The risk of cervical spine injury may not be reduced sufficiently with current foam pit designs.",1
Descriptive trunk kinematics in healthy collegiate women's soccer players indicate trunk center of mass is laterally positioned prior to decelerating and cutting,2022-04-05,2022,Elsevier BV,Journal of ISAKOS,"Celeste Dix, Amelia Arundale, Holly Silvers-Granelli, Adam Marmon, Ryan Zarzycki, Elisa Arch, Lynn Snyder-Mackler","ObjectivesTrunk kinematics can contribute to lower extremity biomechanical risk factors for anterior cruciate ligament (ACL) injury. However, normative trunk kinematics during unilateral athletic tasks in a large population of ""healthy"" (no history of ACL injury and no known future ACL injury) women's soccer players have not been well-described. This study's purposes were to describe trunk kinematics in a population of 37 healthy collegiate women's soccer players completing a step-down, a deceleration, and a 90° cut, and to provide a reference for normative values.MethodsA cross-sectional cohort of 37 female soccer players were analysed for this study. Trunk forward flexion and lateral flexion were measured relative to the pelvis, and trunk centre of mass position was measured relative to the proximal tibia. Trunk kinematics were characterized by individual values at key events during the tasks and time-series curves normalized to 100% of the time.ResultsParticipants demonstrated increasing trunk forward flexion with increasing knee flexion angle, small amounts of increasing ipsilateral trunk flexion with increasing peak knee abduction moment, and trunk centre of mass position that moved medially during the deceleration and cut tasks. Additionally, participants demonstrated peak trunk lateral flexion angles milliseconds before peak knee flexion angle.ConclusionThis study provides a reference for identifying aberrant trunk mechanics that may increase the risk for non-contact ACL injury.Level of evidenceLevel II.",1
Between-Limb Symmetry in ACL and Tibiofemoral Contact Forces in Athletes After ACL Reconstruction and Clearance for Return to Sport,2022-04-01,2022,SAGE Publications,Orthopaedic Journal of Sports Medicine,"Argyro Kotsifaki, Sam Van Rossom, Rod Whiteley, Vasileios Korakakis, Roald Bahr, Pieter D’Hooghe, Emmanuel Papakostas, Vasileios Sideris, Abdulaziz Farooq, Ilse Jonkers","Current return-to-sport (RTS) criteria after anterior cruciate ligament (ACL) reconstruction (ACLR) include demonstrating symmetry in functional and strength tests. It remains unknown if at the time that athletes are cleared to RTS, they exhibit between-limb symmetry in ACL and tibiofemoral contact forces or if these forces are comparable with those in uninjured athletes.To (1) examine ACL and tibiofemoral contact forces in athletes who underwent ACLR and were cleared to RTS and (2) compare the involved leg to the healthy contralateral leg and healthy controls during functional tasks.Cross-sectional study; Level of evidence, 3.A total of 26 male athletes who underwent ACLR were tested at the time of RTS during tasks that included single-leg vertical, horizontal, and side jumps; cutting maneuvers; and high-intensity running. We used an electromyography-constrained musculoskeletal modeling workflow to estimate ACL and tibiofemoral contact forces and compared the results with those of 23 healthy male participants.The ACLR group presented no differences in peak tibiofemoral contact forces in the involved limb compared with the control group. However, there were significant between-limb differences mainly due to higher contact forces in the uninvolved (healthy) limb of the ACLR group compared with the control group. In the ACLR group, ACL forces were significantly higher in the uninvolved limb compared with the involved limb during cutting and running. Lateral contact forces were lower in the involved compared with the uninvolved limb, with large effect sizes during cutting (d = 1.14; P < .001) and running (d = 1.10; P < .001).Current discharge criteria for clearance to RTS after ACLR did not ensure the restoration of symmetric loading in our cohort of male athletes. ACL force asymmetry was observed during cutting and running, in addition to knee loading asymmetries on several tasks tested.",1
Prediction Model of Success and Failure in Football Competitions,2022-04-01,2022,The University Academics,International Journal of Research Pedagogy and Technology in Education &amp; Movement Sciences,"Rajdeep Das, Birendra Jhajharia, Promod Kumar Das","The purpose of this study was to identify the factors which determine the winning and losing of football match. The sample used corresponded to 280 games from the 2019-2020 to 2020-21 season of the Hero Indian Super league (ISL) football tournament. The game related statistics gathered were: total number of passes, successful passes, shot on target, fouls, crosses, red card, offside, shot off target, touches, intercepts, corners and yellow cards. The data were analyzed using Binary Logistic Regression (Forward: LR Method) with the result of the game as the dependent variable and predictor variables as covariates. β, standard error β, Wald’s χ2, odds ratio with 95% confidence interval were calculated. Model evaluation was conducted using the likelihood ratio test, Cox &amp; Snell (R2), and Nagelkerke (R2) tests. The goodness of fit test for the models was conducted using the Hosmer &amp; Lemeshow test. The analysis revealed five factors were related to winning in football competition. The study shows that there is a significant association of important factors with respect to winning a match in a professional football championship. The coaches and players can take note of the important factors responsible for winning in the football championship.",1
Reliability and Differences Between Sexes in Landing Mechanics when Performing the Lateral Bound Test,2022-04-01,2022,International Journal of Sports Physical Therapy,International Journal of Sports Physical Therapy,"Andy Waldhelm, Sydney Allen, Lacy Grand, Carolyn Bopp, Kristian Foster, Ginger Muckridge, Neil Schwarz","Background and Purpose Anterior cruciate ligament injuries are prevalent among the athletic population, imposing a heavy economic burden, and the risk of re-injury. Most current biomechanical screening tasks are performed in the sagittal plane, and there is a need for more screening tools that assess sports specific movements in the frontal plane. The purpose of this study was to determine the reliability of and examine differences between sexes in the performance of the Lateral Bound Test (LBT). Materials/Methods Each subject performed three trials of a LBT which included jumping laterally from one leg over a hurdle and landing on the opposite leg. Two cameras were placed six feet from the landing marker. Maximum dynamic knee valgus using the frontal plane projection angle and knee flexion angle at initial contact and maximal knee flexion were measured upon landing leg using 2D video analysis software. Additionally, video of 10 individuals’ trials were analyzed twice with one week between the analyses to obtain intra-rater reliability while 12 participants were retested one week later to determine test-retest reliability. Results Thirty healthy subjects, 16 males, 14 females participated. Intra-rater reliability was determined to be excellent for all variables (ICC&gt;0.96). In contrast, the test-retest reliability had greater disparity. Test-retest reliability ranged from poor (ICC = 0.47) to excellent (ICC &gt; 0.90). Significant differences existed between the sexes, including males being significantly taller, weighing more, and demonstrating greater bilateral dynamic knee valgus (p &lt; 0.05). No significant differences existed between sexes for knee flexion angles. Conclusion The new LBT had excellent intra-rater reliability for assessing dynamic knee valgus and initial and maximum knee flexion angle when performing a functional movement in the frontal plane. Furthermore, males landed with more dynamic knee valgus than females which is contradictory to what has been observed with functional screening tools performed in the sagittal plane. Level of Evidence 3b (reliability study)",1
Return to Play After Surgical Treatment of High-Grade Acromioclavicular Joint Injuries in the Australian Football League,2022-04-01,2022,SAGE Publications,Orthopaedic Journal of Sports Medicine,"Paul Borbas, Sarah Warby, Matthew Yalizis, Mitchell Smith, Gregory Hoy","Acromioclavicular joint (ACJ) injuries are the second most common upper limb injuries in the Australian Football League (AFL); however, there is little evidence on the return-to-sport results after surgical stabilization of the ACJ in this sporting population.To investigate the return-to-sport time, on-field performance, and patient-reported outcomes in a series of professional AFL players after undergoing ACJ stabilization.Case series; Level of evidence, 4.We conducted a retrospective case series of all AFL players who had undergone open twin-tailed dog-bone ACJ stabilization by a single surgeon between September 2013 and April 2017. Outcome measures included time to return to sport, on-field performance indicators (handballs, tackles, kicks, and AFL Fantasy and Supercoach scores), the Nottingham Clavicle Score, Oxford Shoulder Score, and the Specific Acromioclavicular Score. Patient-reported outcomes were evaluated at a minimum follow-up of 12 months.Of 13 senior listed AFL players who underwent twin-tailed dog-bone surgery, 9 players were included. Mean follow-up was 24.8 months (range, 5-41 months) postoperatively. Mean return-to-sport time was 8.6 weeks for injuries that occurred within the season. The number of kicks, marks, handballs, and tackles as well as AFL Supercoach and Fantasy scores did not significantly change after surgery (P > .05). Outcome measures showed a high level of patient satisfaction after surgery, with a mean Nottingham Clavicle Score of 92.2, Oxford Shoulder Score of 47.7, and the Specific Acromioclavicular Score of 7.5.In a collective of professional AFL players with ACJ injury, our twin-tailed dog-bone technique revealed return to competitive play could be achieved at a mean of 8.6 weeks without compromising on-field performance or patient-reported pain, function, and satisfaction.",1
Improving Lower Extremity Functional Indices of People With Dynamic Knee Valgus With Therapeutic Exercises: A Systematic Review and Meta-analysis,2022-04-01,2022,Negah Scientific Publisher,Physical Treatments - Specific Physical Therapy Journal,"Solmaz Mahdavi, Hooman Minoonejhad, Reza Rajabi, Rahman Sheikhhoseini","Purpose: One of the most significant contributors to lower extremity degeneration alterations and its effects on balance and sports performance is dynamic knee valgus (DKV) as a faulty movement pattern. Different exercise interventions have been conducted to improve DKV. Extensive research and meta-objective analysis were conducted to assess how exercise interventions affected people with lower extremity functional indicators of DKV. Methods: The electronic databases Scopus, Web of Science (WoS), PubMed, Google Scholar, and Iranian databases SID and Magiran were systematically searched from inception to September 2021. Only full-text articles published in English/Persian peer-reviewed journals that met this study criterion were tracked. Two researchers evaluated the methodological quality of research findings separately, employing the Downs and Black Checklist. After collecting significant data from eligible studies, the results were integrated by applying a random-effects meta-analysis approach. Results: The final systematic review and meta-analysis comprised seven of the 3470 papers deemed potentially relevant. The outcome illustrates that different exercise interventions may be effective in improving dynamic balance (SD=0.93 degrees, 95%CI: 0.54-1.32, P&lt;0.001) and functional performance (Hedge’s g=1.695, 95% CI=1.22-2.17, Z=6.99, P&lt;0.001) in 250 DKV participants. Conclusion: Exercise interventions appear to be an effective method to enhance dynamic balance and functional performance in individuals experiencing DKV; nevertheless, these results should be regarded as preliminary due to the limited number of studies and their limitations.",1
Methodical aspects of selection and early game orientation of young football players taking into account their individual features,2022-03-30,2022,Izmail State University of Humanities,Scientific Bulletin of the Izmail State University of Humanities. Section «Pedagogical sciences»,"Stanislav Saprun, Sergey Kornyenko","The peculiarities of the educational and training process of young football players are described in the work. Methods and means are determined, morpho-functional and motor training of young sportsmen of the CYSS football department is determined. The study showed that conducting early sports orientation in football contributes to the development of an adequate curriculum for CYSS. Based on the previous division of roles, the level of the relationship between the indicators of morpho-functional and special training of young football players has been established. Factors identified during the study that affect the performance of young players are in the following percentage: 29% – technical fitness, 15% – physical talent, 12% – functionality, 12% – functionality, 9% – physical capabilities, 35% – others, not studied (biomechanical, medical, psychological, etc.), allowed to develop and experimentally substantiate the method of early selection of young players, the effectiveness of which can contribute to the process of individualization at the initial stage of training. The obtained results of the research can be used by football coaches to optimize the educational and training process of young football players.",1
Biomechanical Load Quantification Using a Lower Extremity Inertial Sensor Setup During Football Specific Activities,2022-03-28,2022,Informa UK Limited,Sports Biomechanics,"Bram J.C. Bastiaansen, Riemer J.K. Vegter, E. Wilmes, Cornelis J. de Ruiter, Koen A.P.M. Lemmink, Michel S. Brink","Training load monitoring systems in football do not focus on lower extremities and therefore potentially neglect important information to optimise performance or reduce injury risk. The current study aims to present joint and segment angular accelerations as novel indicators to quantify lower extremity biomechanical load measured by a new inertial sensor setup. Relationships were explored with commonly used whole-body training load indicators using principal component analysis (PCA). Sixteen male amateur football players performed a linear sprint and an agility T-test. An inertial sensor setup, and local position measurement system were used to collect training load data. Hip Load, Knee Load, Thigh Load and Shank Load were introduced to quantify lower extremity biomechanical load. Three principal components were identified for both tests, explaining 91% and 86% of the variance. The indicators for the lower extremities contributed to the second principal component for both tests and provide distinct information compared to whole-body load indicators. The results show the potential to use an inertial sensor setup combined with common monitoring systems to evaluate training load, which may help optimise future performance and reduce injury risk. These relationships should be further examined during other football specific activities such as shooting or jumping.",1
Influence of post-traumatic chondropathy on the functional state of the knee joints in athletes,2022-03-28,2022,Samarkand State Medical Institute,Uzbek journal of case reports,"Zabur Umarkulov, Bakhodir Mamasoliev",The article gives the assessment of the influence of post-traumatic hondropathy on the functional condition of knee joints in sportsmen with knee joints traumas in the past history. The negative influence of post-traumatic hondropathy on the subjective evaluation of the function of the traumatized knee joint according to the data of KOOS questionnaire and decrease of power parameters of periarticular muscles according to the data of the isokinetic test have been found out.,1
Agility in Invasion Sports: Position Stand of the IUSCA,2022-03-25,2022,International Universities Strength and Conditioning Association,International Journal of Strength and Conditioning,"Warren Young, Tom Dos'Santos, Damian Harper, Ian Jefferys, Scott Talpey","Agility is a complex skill that is influenced by several physical, technical and cognitive factors. In this position stand, we discuss agility as it relates to invasion sports such as the many football codes. An important concept when conceptualising agility is understanding how it is applied on the field or court. Agility is particularly important in contests between attackers and defenders. For example, an attacker needs to create space or separation from defenders, in order to evade or to maintain possession of the ball. Conversely, defenders may require agility to reduce time and space in relation to the attacker, thereby applying pressure with the intention of achieving a turnover of possession. The movements performed in an agility scenario are diverse, and may involve an isolated deceleration, or a range of actions to produce a lateral displacement of the body at various angles and speeds. To create novel insights into agility, the interactions between predators and prey are explored in the animal world and reveal that successful pursuit (like a defender) or escape (like an attacker) is influenced by the ability to accelerate and attain high speeds, decelerate, and manoeuvre with control at optimum speeds, as well as expressing perceptual and cognitive skills. A plethora of sports literature claiming to discuss agility actually refers to pre-planned change-of-direction (COD) movements, known as COD ability. There are several differences between agility and COD ability, which should be considered when testing and prescribing agility activities. The characteristics of different agility techniques are presented and discussed with consideration to performance and the risk of injury such as anterior cruciate ligament (ACL) rupture, with the aim of creating multiple movement solutions for the athlete. Due to the diversity of agility actions performed in invasion sports, physical development should include tissue strengthening as well as fast and slow stretch-shortening cycle exercises to cater for different speeds and angles of agility movements. The speed and accuracy of decision-making in agility contests (cognitive component) are determined by the athlete’s ability to anticipate opponent’s actions, visually scan the environment, recognise patterns of play, and predict movement strategies based on knowledge of situations. One versus one contests, small-sided games, and video perceptual training can enhance the cognitive component of agility. Finally, there is no single coaching strategy or method that should be used to develop agility. Instead, the appropriate methodology must fit the individual needs of athletes, and therefore a mixed multicomponent approach is needed as part of an agility framework. Training examples to develop agility are presented throughout this position statement.",1
Bioelectrical Impedance Vector Analysis Discriminates Aerobic Power in Futsal Players: The Role of Body Composition,2022-03-25,2022,MDPI AG,Biology,"Catarina N. Matias, Francesco Campa, Giuseppe Cerullo, Giuseppe D’Antona, Rita Giro, João Faleiro, Joana F. Reis, Cristina P. Monteiro, Maria J. Valamatos, Filipe J. Teixeira","Aims: The present study aimed to assess the ability of bioelectrical impedance vector analysis (BIVA) in discriminating fitness levels in futsal players, exploring the association of body composition and bioelectrical parameters with aerobic power. Methods: Forty-eight professional futsal players (age 23.8 ± 5.3 years) were involved in a cross-sectional study during their pre-season phase. Fat mass (FM) and muscle mass were determined by dual-energy X-ray absorptiometry. VO2max was obtained by indirect calorimetry through a graded exercise test performed on a treadmill. Bioelectrical resistance (R), reactance (Xc), and phase angle (PhA) were directly measured using a foot-to-hand bioimpedance technology at a 50 kHz frequency. Bioelectric R and Xc were standardized for the participants’ height and used to plot the bioimpedance vector in the R-Xc graph according to the BIVA approach. Results: The participants divided into groups of VO2max limited by tertiles showed significant differences in mean vector position in the R-Xc graph (p &lt; 0.001), where a higher VO2max resulted in a longer vector and upper positioning. FM, muscle mass, and PhA differed (p &lt; 0.01) among the athletes grouped by tertiles of VO2max, where athletes with a greater aerobic power showed a lower percentage of FM and a higher percentage of muscle mass and PhA. FM and PhA were associated with VO2max (FM: r = −0.658, p &lt; 0.001; PhA: r = 0.493, p &lt; 0.001). These relationships remained significant after adjusting for age and body mass (FM: ß = −0.335, p = 0.046; PhA: ß = 0.351, p = 0.003). Conclusions: Bioelectrical impedance vectors positioned on the lower pole of the R-Xc graph identified futsal players with a lower VO2max, while longer vectors corresponded to a greater aerobic power. Additionally, PhA, that describes the vector direction, was positively associated with VO2max, while a higher FM negatively affected VO2max in the futsal players. BIVA and PhA evaluation may represent a valid support for screening the aerobic fitness level in professional futsal players, when more sophisticated assessment methods are not available.",1
